year,doy,esc,males,females,unk,yrid
1973,144,0,0,0,0,9
1973,145,0,0,0,0,9
1973,146,0,0,0,0,9
1973,147,0,0,0,0,9
1973,148,1,1,0,0,9
1973,149,0,0,0,0,9
1973,150,1,1,0,0,9
1973,151,1,1,0,0,9
1973,152,0,0,0,0,9
1973,153,0,0,0,0,9
1973,154,2,2,0,0,9
1973,155,0,0,0,0,9
1973,156,0,0,0,0,9
1973,157,0,0,0,0,9
1973,158,0,0,0,0,9
1973,159,1,0,1,0,9
1973,160,0,0,0,0,9
1973,161,0,0,0,0,9
1973,162,7,6,1,0,9
1973,163,2,2,0,0,9
1973,164,2,1,1,0,9
1973,165,0,0,0,0,9
1973,166,0,0,0,0,9
1973,167,8,4,3,1,9
1973,168,0,0,0,0,9
1973,169,1,0,1,0,9
1973,170,0,0,0,0,9
1973,171,3,1,2,0,9
1973,172,0,0,0,0,9
1973,173,0,0,0,0,9
1973,174,0,0,0,0,9
1973,175,0,0,0,0,9
1973,176,0,0,0,0,9
1973,177,2,0,2,0,9
1973,178,2,1,1,0,9
1973,179,0,0,0,0,9
1973,180,0,0,0,0,9
1973,181,0,0,0,0,9
1973,182,0,0,0,0,9
1973,183,4,1,2,1,9
1973,184,0,0,0,0,9
1973,185,2,1,1,0,9
1973,186,0,0,0,0,9
1973,187,0,0,0,0,9
1974,151,0,0,0,0,10
1974,152,0,0,0,0,10
1974,153,0,0,0,0,10
1974,154,0,0,0,0,10
1974,155,0,0,0,0,10
1974,156,1,1,0,0,10
1974,157,1,1,0,0,10
1974,158,0,0,0,0,10
1974,159,1,1,0,0,10
1974,160,0,0,0,0,10
1974,161,0,0,0,0,10
1974,162,6,6,0,0,10
1974,163,0,0,0,0,10
1974,164,0,0,0,0,10
1974,165,4,3,1,0,10
1974,166,0,0,0,0,10
1974,167,1,1,0,0,10
1974,168,7,4,3,0,10
1974,169,5,2,3,0,10
1974,170,6,1,5,0,10
1974,171,2,1,1,0,10
1974,172,0,0,0,0,10
1974,173,0,0,0,0,10
1974,174,7,3,4,0,10
1974,175,16,14,2,0,10
1974,176,7,5,2,0,10
1974,177,11,6,5,0,10
1974,178,5,3,2,0,10
1974,179,10,8,2,0,10
1974,180,9,3,6,0,10
1974,181,7,3,4,0,10
1974,182,1,1,0,0,10
1974,183,0,0,0,0,10
1974,184,0,0,0,0,10
1974,185,0,0,0,0,10
1974,186,1,0,1,0,10
1974,187,2,0,2,0,10
1974,188,0,0,0,0,10
1974,189,0,0,0,0,10
1974,190,0,0,0,0,10
1974,191,0,0,0,0,10
1974,192,0,0,0,0,10
1974,193,0,0,0,0,10
1974,194,2,1,0,1,10
1974,195,0,0,0,0,10
1974,196,0,0,0,0,10
1974,197,0,0,0,0,10
1975,148,0,0,0,0,11
1975,149,0,0,0,0,11
1975,150,0,0,0,0,11
1975,151,0,0,0,0,11
1975,152,0,0,0,0,11
1975,153,0,0,0,0,11
1975,154,0,0,0,0,11
1975,155,1,1,0,0,11
1975,156,1,1,0,0,11
1975,157,0,0,0,0,11
1975,158,3,2,1,0,11
1975,159,2,2,0,0,11
1975,160,1,1,0,0,11
1975,161,0,0,0,0,11
1975,162,0,0,0,0,11
1975,163,0,0,0,0,11
1975,164,0,0,0,0,11
1975,165,3,3,0,0,11
1975,166,0,0,0,0,11
1975,167,3,2,1,0,11
1975,168,2,1,1,0,11
1975,169,2,2,0,0,11
1975,170,0,0,0,0,11
1975,171,4,4,0,0,11
1975,172,0,0,0,0,11
1975,173,5,3,2,0,11
1975,174,0,0,0,0,11
1975,175,2,1,1,0,11
1975,176,2,1,1,0,11
1975,177,6,4,2,0,11
