stream,section,date,start,stop,agency,crew,watervis,cloud,wind,weather,survey notes,reddID,clusterID,photoID,WPT,history,change,type,sup,propsup,fish,age,pottemp,PL,PW,TL,TW1,TW2,excavation,cover,covertype,comments
lower,2,2019-05-09,14:00,14:27,UW,JRB LMB,good,10,light,overcast,NA,L-R-001,L-CL-001,L-R-001-002,L-R-001,new,,TRUE,0,0,no,1,9.8,58,39,102,82,89,NA,,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-09,14:00,14:27,UW,JRB LMB,good,10,light,overcast,NA,L-R-002,L-CL-001,L-R-001-002,L-R-002,new,,test,0,0,no,1,9.8,52,44,102,82,89,NA,,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-12,10:27,10:43,UW,JRB LMB,good,1,light,sun,NA,L-R-001,L-CL-001,L-R-001-002,L-R-001-0512,repeat,,TRUE,0,0,no,2,9.4,59,55,97,83,94,NA,,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-12,10:27,10:43,UW,JRB LMB,good,1,light,sun,NA,L-R-002,L-CL-001,L-R-001-002,L-R-002-0512,repeat,,test,0,0,no,2,9.4,50,43,97,83,94,NA,,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-17,10:29,10:42,UW,JRB LMB,good,10,none,rain,NA,L-R-001,L-CL-001,L-R-001-002,L-R-001,repeat,,TRUE,0,0,no,2,8.7,50,38,113,71,76,NA,,,"shared tailspill measurements with L-R-001 and L-R-002 , No discernable change from last survey"
lower,2,2019-05-17,10:29,10:42,UW,JRB LMB,good,10,none,rain,NA,L-R-002,L-CL-001,L-R-001-002,L-R-002,repeat,,test,0,0,no,2,8.7,51,41,113,71,76,NA,,,"shared tailspill measurements with L-R-001 and L-R-002, No discernable change from last survey"
lower,2,2019-05-21,11:37,12:07,UW,JRB LMB,good,5,light,sun,NA,L-R-001,L-CL-001,L-R-001-002_0521,L-R-001-0521,repeat,,TRUE,0,0,no,2,9.8,46,34,94,81,78,"Excavated 1/2 small bucket- No eggs found,Excavated to gravel <3mm ",,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-21,11:37,12:07,UW,JRB LMB,good,5,light,sun,NA,L-R-002,L-CL-001,L-R-001-002_0521,L-R-002-0521,repeat,,test,0,0,no,2,9.9,53,38,94,81,78,"Excavated 1/2 small bucket- No eggs found,Excavated to gravel <3mm ",,,shared tailspill measurements with L-R-001 and L-R-002
lower,2,2019-05-25,11:23,11:34,UW,JRB LMB,good,9,light,overcast,NA,L-R-001,L-CL-001,L-R-001-002_0525,NA,repeat,,TRUE,0,0,no,2,10,46,35,102,73,72,NA,,,"shared tailspill measurements with L-R-001 and L-R-003, Potential digging activity directly upstream or scour from excavation on last survey"
lower,2,2019-05-25,11:23,11:34,UW,JRB LMB,good,9,light,overcast,NA,L-R-002,L-CL-001,L-R-001-002_0525,NA,repeat,,test,0,0,no,2,10,53,41,102,73,72,NA,,,"shared tailspill measurements with L-R-001 and L-R-003, Potential digging activity directly upstream or scour from excavation on last survey"
